id,created_at,category
1,2025-11-20 17:01:55.112406+00:00,Match Performance
2,2025-11-20 17:01:55.112406+00:00,Transfers & Rumours
3,2025-11-20 17:01:55.112406+00:00,Injuries & Fitness
4,2025-11-20 17:01:55.112406+00:00,Coaching & Tactics
5,2025-11-20 17:01:55.112406+00:00,Refereeing & VAR
6,2025-11-20 17:01:55.112406+00:00,Club Management & Board
7,2025-11-20 17:01:55.112406+00:00,Fan Reactions & Atmosphere
8,2025-11-20 17:01:55.112406+00:00,Player Performance
9,2025-11-20 17:01:55.112406+00:00,Media Coverage & Commentary
10,2025-11-20 17:01:55.112406+00:00,Club Announcements & Off-Pitch News
