post_id_x,topic_id,date,comment_text,pos,neg,neu,sentiment_label,post_platform_id,post_hashtag_id,post_content,post_comments,post_shares,post_likes
1187447073418013,1535,2025-10-23 14:38:41+00:00,Good to see you back but you can leave the club🤣🤣🤣,64.16,10.12,25.72,positive,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1536,2025-10-25 14:20:20+00:00,"Willem Wijnveen ja, beetje rare tekst zo...",23.69,8.02,68.29,neutral,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1537,2025-10-31 06:33:41+00:00,Willem Wijnveen and that is funny why❓️,55.32,7.73,36.95,positive,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1538,2025-10-30 15:35:36+00:00,Raymond Kuurstra nou ja grappig. Meer hypocriet eigenlijk. Ik vond het grappig dat Feyenoord dit op hun pagina plaatst terwijl ze hem eigenlijk willen lozen.,12.32,17.21,70.47,neutral,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1539,2025-10-06 18:04:23+00:00,Best striker we have,80.36,8.4,11.24,positive,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1540,2025-10-04 11:18:44+00:00,Julian Carranza take your chance! You can do it! A lot of succes this saison,83.02,8.49,8.49,positive,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1541,2025-10-09 04:56:36+00:00,Ik hoop dat je blijft en dat jij de kans krijgt.,26.95,14.87,58.19,neutral,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1542,2025-10-31 22:14:29+00:00,beter dan ueda,15.19,11.39,73.41,neutral,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1543,2025-10-04 20:49:55+00:00,"Het is carranza hij pakt ze kans ja
En dan scoort die weer een goal
Het is carranza hij pakt ze kans ja
Het publiek gaat uit zijn bol",25.04,14.45,60.51,neutral,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1544,2025-10-20 21:53:53+00:00,"Geef 'm gewoon een kans, slechter als Ueda kan ie niet zijn",18.79,12.5,68.72,neutral,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1545,2025-10-21 12:06:25+00:00,"Werner van Eijk Die ‘Jap’, zoals jij dat beledigend noemt, is totaal niet slecht. Laat hem in de basis staan, laten ze hem, zoals bij elke spits. fatsoenlijk bedienen en hij zal renderen!",25.8,10.36,63.84,neutral,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1546,2025-10-06 09:31:54+00:00,"Sake Boersma excuus voor de zinsopbouw en dus aangepast, maar qua mee voetballen heb je helemaal niks aan hem.",17.55,11.86,70.59,neutral,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1547,2025-10-03 13:43:07+00:00,Is de nieuwe spits gearriveerd 🤣 man man man...,29.24,16.33,54.42,neutral,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1548,2025-10-10 06:07:05+00:00,Amanda Valerij hallo,18.45,8.22,73.33,neutral,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1549,2025-10-02 01:10:29+00:00,Bullock Alison met mij prima en met jou?,9.84,8.63,81.53,neutral,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1550,2025-10-31 02:21:27+00:00,Bullock Alison en dan? Gescamed worden?,8.42,13.85,77.73,neutral,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1551,2025-10-10 10:03:17+00:00,Bullock Alison ik vraag toch niet aan jou om toe te voegen?,14.47,12.08,73.45,neutral,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1552,2025-10-28 13:00:07+00:00,Ton de Groen,17.57,8.75,73.68,neutral,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1553,2025-10-29 14:49:29+00:00,"Herbert Olijslager jw post elke keer hetzelfde, maar wat bedoel je nu eigenlijk?",12.34,9.65,78.01,neutral,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1554,2025-10-10 20:42:10+00:00,Ton de Groen geen flauw idee. Miss wel de 25 plus 5 aan bonus als dankbaarheid om hem over te kunnen nemen ( Ugalde ) of... Toure die vandaag gepresenteerd wordt?,16.91,8.29,74.8,neutral,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1555,2025-10-04 17:29:29+00:00,Yess🥳🥳,83.19,8.41,8.41,positive,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1556,2025-10-28 10:29:06+00:00,Yes hè is back,68.25,7.9,23.85,positive,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1557,2025-10-21 02:51:19+00:00,Aspe Azzepazz and almost gone🙊,18.39,33.1,48.51,neutral,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1558,2025-10-24 19:05:51+00:00,🥳🥳🥳🥳🥳,83.12,8.44,8.44,positive,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1559,2025-10-11 04:41:44+00:00,"Al heb je 5 spitsen,  zonder aanvoer heb je er niks aan.",13.78,8.44,77.78,neutral,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1560,2025-10-26 15:12:21+00:00,"Doe die Parrott maar van AZ, heeft niet zo'n raar accent als Meerdink",19.78,11.19,69.03,neutral,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1561,2025-10-23 06:00:15+00:00,Gewogen en te licht bevonden….,22.65,10.1,67.25,neutral,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1562,2025-10-18 14:12:49+00:00,Jacques Toldoelpunt tegen Milan vergeten?,10.13,8.58,81.29,neutral,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1563,2025-10-01 06:07:56+00:00,"Arjan de Mik dat is te weinig,jongen!",40.5,7.71,51.8,neutral,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1564,2025-10-30 01:34:46+00:00,Jasper Visser eindelijk nu kunnen we praten,16.43,10.87,72.69,neutral,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1565,2025-10-30 23:37:26+00:00,Geen kans gehad....vertrouwen krijg je van minimaal 10 wedstrijden en niet van 15 min,16.64,8.26,75.11,neutral,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1566,2025-10-15 06:27:33+00:00,Hoop dat hij nog een kans zal krijgen anders is het zonde voor hem en onze club,24.92,12.76,62.32,neutral,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,21048,2025-10-23 00:38:38+00:00,"Idioot, 74 minuten nog steeds 0-0, wedstrijd eindigde met 3-0 verlies, 3000 keer gespeeld, 3000 keer verloren, idioot, trek je terug uit het team, idioot, je bent te dom.",19.45,8.09,72.45,neutral,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,91403,2025-10-29 23:18:06+00:00,🔥,67.72,7.94,24.35,positive,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,1569,2025-10-19 06:39:14+00:00,🇦🇷🇧🇩,25.43,8.54,66.03,neutral,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1187447073418013,21048,2025-10-06 11:44:34+00:00,"Idioot, 74 minuten nog steeds 0-0, wedstrijd eindigde met 3-0 verlies, 3000 keer gespeeld, 3000 keer verloren, idioot, trek je terug uit het team, idioot, je bent te dom.",19.45,8.09,72.45,neutral,1,,"Good to see you back on the pitch, Julián! 👊",62,7.0,775
1316495079839420,3322,2025-10-04 20:07:29+00:00,Gefeliciteerd Ruud 🎉🥳,83.1,8.45,8.45,positive,1,,A legend was born on this day in 1962 🙌,45,19.0,557
1316495079839420,3323,2025-10-11 22:18:02+00:00,Gefeliciteerd  Ruud,32.22,7.79,59.99,neutral,1,,A legend was born on this day in 1962 🙌,45,19.0,557
1316495079839420,4325,2025-10-20 13:09:49+00:00,Gefeliciteerd fijne dag,22.68,15.38,61.94,neutral,1,,A legend was born on this day in 1962 🙌,45,19.0,557
1316495079839420,3325,2025-10-02 07:05:34+00:00,HBD Ruud 🤙🏻⚽️🇳🇱⚽️🇳🇱🤙🏻,82.98,8.51,8.51,positive,1,,A legend was born on this day in 1962 🙌,45,19.0,557
1316495079839420,32624,2025-10-28 09:34:14+00:00,Hartelijk Gefeliciteerd,22.75,9.08,68.17,neutral,1,,A legend was born on this day in 1962 🙌,45,19.0,557
1316495079839420,32811,2025-10-30 04:43:16+00:00,Proficiat,26.06,12.47,61.48,neutral,1,,A legend was born on this day in 1962 🙌,45,19.0,557
1316495079839420,3328,2025-10-27 00:59:20+00:00,Had PSV nooit moeten verlaten want daar heeft hij gepiekt en zijn naam waargemaakt. Voor de rest heeft hij overal maar matig gepresteerd.,18.95,11.54,69.51,neutral,1,,A legend was born on this day in 1962 🙌,45,19.0,557
1316495079839420,90802,2025-10-19 08:29:05+00:00,Gefeliciteerd,31.64,13.01,55.35,neutral,1,,A legend was born on this day in 1962 🙌,45,19.0,557
1316495079839420,3330,2025-10-08 15:39:10+00:00,Gefeliciteerd ruud,27.4,12.78,59.82,neutral,1,,A legend was born on this day in 1962 🙌,45,19.0,557
1316495079839420,32756,2025-10-25 04:32:52+00:00,Gefeliciteerd 🎉🎉,83.11,8.44,8.44,positive,1,,A legend was born on this day in 1962 🙌,45,19.0,557
1316495079839420,3332,2025-10-21 14:33:24+00:00,Eric Jan van Nuenen,12.97,8.39,78.65,neutral,1,,A legend was born on this day in 1962 🙌,45,19.0,557
1316495079839420,3333,2025-10-03 02:16:44+00:00,"Held! 
Gefeliciteerd! Maak er een fijne verjaardag van!",48.27,7.66,44.07,positive,1,,A legend was born on this day in 1962 🙌,45,19.0,557
1316495079839420,3334,2025-10-26 23:53:34+00:00,hele goede voetballer maar door hem werd WK 90 een flop,10.37,34.43,55.2,neutral,1,,A legend was born on this day in 1962 🙌,45,19.0,557
1316495079839420,3335,2025-10-22 16:16:00+00:00,Je kon wel voetballen maar verder niks! Toch Gefeliciteerd,36.99,9.84,53.17,neutral,1,,A legend was born on this day in 1962 🙌,45,19.0,557
1316495079839420,3336,2025-10-19 18:47:36+00:00,Van harte gefeliciteerd Ruud.,22.29,8.08,69.63,neutral,1,,A legend was born on this day in 1962 🙌,45,19.0,557
1316495079839420,3337,2025-10-23 13:11:21+00:00,Deze man heeft de verdere revolutie van  PSV in 1986 eigenhandig ingezet. 💪🥳,75.0,8.14,16.87,positive,1,,A legend was born on this day in 1962 🙌,45,19.0,557
1316495079839420,3338,2025-10-10 01:41:34+00:00,သူ ရ hoe oud ben je? 14? 🤣🤣,14.83,18.23,66.94,neutral,1,,A legend was born on this day in 1962 🙌,45,19.0,557
1316495079839420,3339,2025-10-12 08:32:57+00:00,"Rogier Donker If I were in the Netherlands, I would bomb and kill the PSV player who is destroying the game of football.",8.27,77.28,14.44,negative,1,,A legend was born on this day in 1962 🙌,45,19.0,557
1316495079839420,3340,2025-10-25 20:01:36+00:00,"သူ ရ no you wouldn't. Big talk, no game",9.8,37.39,52.81,neutral,1,,A legend was born on this day in 1962 🙌,45,19.0,557
1316495079839420,3341,2025-10-24 15:24:55+00:00,Rogier Donker May the entire PSV team die in a car accident.,8.1,72.91,19.0,negative,1,,A legend was born on this day in 1962 🙌,45,19.0,557
