date,club,competition,home,away,result,club_id
2025-10-01 21:00:00+00:00,PSV Eindhoven,UEFA Champions League,Bayer 04 Leverkusen,PSV Eindhoven,1-1,1
2025-10-04 20:00:00+00:00,PSV Eindhoven,Eredivisie,PEC Zwolle,PSV Eindhoven,0-4,1
2025-10-18 18:45:00+00:00,PSV Eindhoven,Eredivisie,PSV Eindhoven,Go Ahead Eagles,2-1,1
2025-10-21 21:00:00+00:00,PSV Eindhoven,UEFA Champions League,PSV Eindhoven,Napoli,6-2,1
2025-10-26 14:30:00+00:00,PSV Eindhoven,Eredivisie,Feyenoord,PSV Eindhoven,2-3,1
2025-10-31 20:00:00+00:00,PSV Eindhoven,Eredivisie,PSV Eindhoven,Fortuna Sittard,5-2,1
2025-11-02 14:30:00+00:00,PSV Eindhoven,Eredivisie,NEC Nijmegen,PSV Eindhoven,1-3,1
2025-11-09 16:45:00+00:00,PSV Eindhoven,Eredivisie,PSV Eindhoven,FC Groningen,4-0,1
2025-11-23 20:00:00+00:00,PSV Eindhoven,Eredivisie,RKC Waalwijk,PSV Eindhoven,0-2,1
2025-11-26 21:00:00+00:00,PSV Eindhoven,UEFA Champions League,PSV Eindhoven,Shakhtar Donetsk,2-1,1
